pdb_id1,pdb_id2,tm_score,rmsd
1u8i,3oko,0.60001,5.886780261993408
4g80,3u7y,0.88198,1.5388516187667847
7ter,6a79,0.89813,0.9802209734916687
6vtw,5fcu,0.56212,7.455345153808594
7r89,6mqe,0.44709,2.24504017829895
2b0s,3rkd,0.63649,5.193951606750488
6mtt,6x78,0.84838,1.886636734008789
3vrl,5t29,0.72595,3.4597415924072266
7fej,6hga,0.38216,0.8261151909828186
1f58,6u8k,0.70605,4.051143169403076
3cxh,6xuk,0.50269,0.9179385304450989
4xny,1i8k,0.90456,0.8554657697677612
5vj6,3u7w,0.68933,3.965939998626709
1d5i,4uv4,0.62151,5.776065349578857
2g60,1n0x,0.68715,3.5262105464935303
5mp5,1hkl,0.69375,4.225478649139404
5tlk,3stz,0.87499,1.2790898084640503
6p4y,4u1g,0.89276,1.690698266029358
4s1r,6tko,0.83846,2.308354616165161
5fuz,6idh,0.79208,2.614762306213379
2o5x,6mzj,0.93444,0.6488380432128906
6s8i,3hzk,0.50455,0.586505115032196
1bm3,6ce0,0.6628,3.9964494705200195
5umn,3mnw,0.64698,4.962309837341309
5i6z,6mv5,0.85807,1.9856038093566895
6a0x,1jv5,0.94642,0.4890507161617279
1y18,1ar1,0.95742,0.5278294682502747
5fyl,3i02,0.87122,1.6929198503494263
6jwc,5c6t,0.8231,1.1588635444641113
5w3m,4dcq,0.50962,0.8223874568939209
3iy3,1j5o,0.50821,0.8636545538902283
1ind,2hkh,0.91198,1.1188703775405884
7l79,7s11,0.62281,5.388082504272461
4r0l,6xuk,0.48059,0.8691291809082031
5uem,4mhj,0.65918,4.577188014984131
6wx1,6iw0,0.89415,0.7404485940933228
4oaw,2vis,0.82117,2.839604616165161
1k4c,6mqc,0.68228,3.885533571243286
1u8q,3idi,0.9763,0.4272199273109436
4qyo,4jy6,0.46199,0.8613883256912231
1a6t,4rx4,0.61364,5.623928546905518
1k4c,3i2c,0.87795,1.670405387878418
2xqy,1jgl,0.75183,3.6361818313598633
5ggt,7kbt,0.8629,0.9452943205833435
5y2l,5hi3,0.81557,2.558074474334717
5mu2,3ls4,0.80786,2.591193199157715
6amm,2fed,0.76799,2.815884828567505
6svl,3qrg,0.62009,5.247520923614502
1jnl,1bvl,0.8997,0.8707312345504761
5w2b,1fpt,0.71806,3.8179101943969727
6xpr,4toy,0.82746,1.1425178050994873
2exw,4xaw,0.67231,4.7796807289123535
1kb9,6o26,0.5325,0.9434589743614197
7bbj,6xsw,0.73723,3.7197763919830322
3ixy,6btj,0.84712,0.0
7rxj,6dca,0.52529,9.198079109191895
6ol5,3ifn,0.90099,1.4659755229949951
7mjs,3j5m,0.50675,0.8363569378852844
7e72,5esz,0.83114,1.717751145362854
6mb3,4j1u,0.5219,0.7555962800979614
4f58,1d5i,0.80838,2.266148567199707
4i3r,4ong,0.71119,3.874549388885498
6ug9,6dcv,0.78466,2.52569580078125
4xpb,2j6e,0.79546,2.2089056968688965
6ban,7kkz,0.44858,0.8850735425949097
6pze,43ca,0.86207,0.6237601041793823
6mu3,2zck,0.48864,13.347448348999023
5weq,1rzk,0.72929,3.305452585220337
7tpj,1fl6,0.48336,0.6195356845855713
6w0a,7s4g,0.65354,5.320483207702637
1f8t,7f2s,0.94584,0.9585052728652954
6pwu,6xjq,0.90967,1.3634538650512695
6b0e,1nd0,0.64405,4.560049533843994
7la4,4x80,0.48471,1.517200231552124
4x0k,7a6e,0.74189,3.3165488243103027
6mtt,5t80,0.71493,3.5277583599090576
6gc2,4gsd,0.70121,3.6924285888671875
6phh,1om3,0.52184,13.348608016967773
3fmg,7jhg,0.86247,1.6335338354110718
3fo2,6hig,0.691,4.22993278503418
6vor,4xc1,0.92353,0.6273326277732849
6ddm,3qo1,0.93208,0.5207932591438293
7a6e,6n81,0.89181,1.3027855157852173
6p4c,6dl8,0.67311,4.184081077575684
5y9c,6o3k,0.83178,1.7205196619033813
1um4,6qig,0.85761,1.2171746492385864
6xqw,5fb8,0.91098,1.124366044998169
2hfg,6cxc,0.85923,1.4334756135940552
4qf1,1k4d,0.50816,9.148334503173828
3ghe,3ifn,0.84919,2.0805439949035645
1riv,4mhj,0.93118,0.6241520643234253
7e6p,6b0s,0.63456,5.201428413391113
4qhu,7sfw,0.81554,1.1214203834533691
1vpo,6w0j,0.82078,2.476426362991333
7rxi,5e94,0.82095,2.162771463394165
6w4v,12e8,0.74028,3.5044479370117188
2h2p,3rvw,0.8116,2.531647205352783
5mp3,5ezj,0.94721,0.6173427104949951
6s8i,6wkm,0.48946,0.8218787312507629
5tpl,5mi0,0.82373,2.2649660110473633
6u1n,5ggt,0.49993,1.223809003829956
3g6a,6jht,0.72981,3.7045700550079346
4mqx,1ngq,0.68185,4.5577311515808105
4k9e,2ih1,0.74073,3.4931800365448
6w4s,3efd,0.51399,0.8182912468910217
6vry,1rih,0.62542,5.681814670562744
5gzo,1oaz,0.89962,0.7383899092674255
7ctu,7li8,0.8663,1.199790596961975
6be4,2r1w,0.9153,1.0404189825057983
6vbp,2c1p,0.83373,2.1709985733032227
5tr8,2h32,0.70254,3.5994274616241455
