pdb_id1,pdb_id2,tm_score,rmsd
5w2b,1fpt,0.76535,2.9667351245880127
6xpr,4toy,0.85874,1.8660043478012085
2exw,4xaw,0.86167,2.1241536140441895
1kb9,6o26,0.48413,0.5256574153900146
7bbj,6xsw,0.73767,3.637923002243042
3ixy,6btj,0.8997,0.0
7rxj,6dca,0.49878,8.963960647583008
6ol5,3ifn,0.91888,1.139923095703125
7mjs,3j5m,0.48715,0.6761143207550049
7e72,5esz,0.94843,0.9673474431037903
6mb3,4j1u,0.45796,0.8036476969718933
4f58,1d5i,0.67189,4.503596305847168
4i3r,4ong,0.76137,2.805736780166626
6ug9,6dcv,0.84258,2.0160090923309326
4xpb,2j6e,0.83158,2.40940523147583
6ban,7kkz,0.47524,0.38325563073158264
6pze,43ca,0.84472,0.7508684396743774
6mu3,2zck,0.76568,3.1729564666748047
5weq,1rzk,0.76398,3.262728691101074
7tpj,1fl6,0.45636,0.595280110836029
6w0a,7s4g,0.66556,4.693681716918945
1f8t,7f2s,0.93276,0.9254160523414612
6pwu,6xjq,0.84653,2.064983606338501
6b0e,1nd0,0.71721,3.9653587341308594
7la4,4x80,0.49069,0.7271456718444824
4x0k,7a6e,0.82192,2.5628912448883057
6mtt,5t80,0.77327,3.1240625381469727
6gc2,4gsd,0.78408,3.0476396083831787
6phh,1om3,0.8058,2.823328733444214
3fmg,7jhg,0.91139,1.4478793144226074
3fo2,6hig,0.7378,3.6633853912353516
6vor,4xc1,0.9785,0.48738497495651245
6ddm,3qo1,0.96414,0.4286405146121979
7a6e,6n81,0.91394,1.1843823194503784
6p4c,6dl8,0.79605,2.346395492553711
5y9c,6o3k,0.83232,2.076768636703491
1um4,6qig,0.89143,1.769398808479309
6xqw,5fb8,0.85819,1.6935138702392578
2hfg,6cxc,0.92253,1.0037895441055298
4qf1,1k4d,0.5071,9.18260383605957
3ghe,3ifn,0.8393,1.7515517473220825
1riv,4mhj,0.95798,0.9267967343330383
7e6p,6b0s,0.67418,4.711203098297119
4qhu,7sfw,0.94345,0.6255254149436951
1vpo,6w0j,0.79154,3.0463764667510986
7rxi,5e94,0.84639,1.8299949169158936
6w4v,12e8,0.7602,3.4094464778900146
2h2p,3rvw,0.91248,1.6451245546340942
5mp3,5ezj,0.96916,0.7302924394607544
6s8i,6wkm,0.45142,0.8119907975196838
5tpl,5mi0,0.67909,4.180849552154541
6u1n,5ggt,0.49361,0.5899962186813354
3g6a,6jht,0.7703,3.222352981567383
4mqx,1ngq,0.65352,4.896392822265625
4k9e,2ih1,0.73689,3.5568225383758545
6w4s,3efd,0.49491,0.6819037199020386
6vry,1rih,0.69704,4.165356636047363
5gzo,1oaz,0.86823,0.7986825704574585
7ctu,7li8,0.86769,1.1359597444534302
6be4,2r1w,0.84155,1.5907107591629028
6vbp,2c1p,0.87062,1.9890164136886597
5tr8,2h32,0.72545,0.7376839518547058
4ub0,1om3,0.72621,3.975614309310913
5d96,4z7o,0.81848,2.671816825866699
1cfv,5tl5,0.49172,0.6982518434524536
1zlv,6vrl,0.9065,0.9178447127342224
5n4g,6yhq,0.94616,1.0400593280792236
4q5z,6bkb,0.78173,1.0241864919662476
6olp,6gk8,0.48501,1.0792073011398315
4xml,2gfb,0.91642,1.1632964611053467
