pdb_id1,pdb_id2,tm_score,rmsd
1um4,7nx2,0.26614,0.3088679313659668
6vbq,5hbt,0.29216,2.9345810413360596
5xcx,1l7t,0.23129,0.15681402385234833
4oz4,6nuz,0.42021,0.48341262340545654
7dc8,1y0l,0.47788,0.30094271898269653
4jb9,6w05,0.27506,0.5025188326835632
4dw2,7tes,0.19259,0.0
4ong,5uea,0.24931,0.024958746507763863
7vux,1t4k,0.24346,0.0341188982129097
4u6h,6xjq,0.21088,0.20095981657505035
2hfg,1zea,0.54666,0.3581545650959015
5c6t,6q1z,0.16876,5.259190082550049
6cez,6hco,0.39203,0.4026966691017151
5ibl,6xsn,0.15844,4.9008660316467285
6bzw,6c5k,0.38008,0.2580881118774414
6xq4,1mh5,0.26108,0.14024661481380463
2qql,6wg0,0.52227,0.34856244921684265
6mto,6nmv,0.56567,0.021036483347415924
1n5y,6aq7,0.52222,0.31422343850135803
4f58,1dqd,0.19269,0.9185428023338318
5vn8,7chy,0.26814,0.10750932991504669
5y11,4r90,0.36737,0.17249029874801636
4m5y,4zto,0.47786,0.6401079297065735
7lf0,3wfd,0.17089,0.3289537727832794
6qd8,3wfb,0.13996,1.2032356262207031
4ydk,1bvl,0.51998,0.0787629783153534
3hzy,6lz4,0.63389,0.4661080539226532
3ifn,6ldv,0.34125,1.5870593786239624
2pw2,3klh,0.31721,0.6566832065582275
4dqo,2w9e,0.45839,1.1911587715148926
3eyq,6x9r,0.18729,0.5478939414024353
5zuf,2hg5,0.51794,3.700335741043091
7la4,7neq,0.36967,1.7281664609909058
3wkm,6ea7,0.19974,0.6858146786689758
4wuu,6bf7,0.23424,0.37386277318000793
5gzn,6xsn,0.26003,0.19464673101902008
6pzz,3gnm,0.34998,0.0226841289550066
6uj9,7php,0.08776,0.3287298381328583
1ua6,4u6h,0.36066,0.01014021411538124
6yhq,6c5i,0.34518,0.2574307322502136
5czv,4gxu,0.16271,0.19874487817287445
4ky1,4kjw,0.15979,0.5304360389709473
2fd6,6usf,0.13613,0.0
